rysxai_profession_id,major_code,major_name,level,category,subject,degree,limit_year,heat,is_hot
1,010101,哲学,本科,哲学,哲学类,哲学学士,四年,2511148,true
2,010102,逻辑学,本科,哲学,哲学类,哲学学士,四年,1105452,true
3,010103,宗教学,本科,哲学,哲学类,哲学学士,四年,638128,true
4,010104,伦理学,本科,哲学,哲学类,哲学学士,四年,708557,true
5,020101,经济学,本科,经济学,经济学类,经济学学士,四年,2534798,true
6,020102,经济统计学,本科,经济学,经济学类,经济学学士,四年,700996,true
7,020103,国民经济管理,本科,经济学,经济学类,经济学学士,四年,685463,true
8,020104,资源与环境经济学,本科,经济学,经济学类,经济学学士,四年,2353434,true
9,020105,商务经济学,本科,经济学,经济学类,经济学学士,四年,3318946,true
10,020106,能源经济,本科,经济学,经济学类,经济学学士,四年,692764,true
11,020107,劳动经济学,本科,经济学,经济学类,经济学学士,四年,176021,false
12,020108,经济工程,本科,经济学,经济学类,经济学学士,四年,210267,false
13,020109,数字经济,本科,经济学,经济学类,经济学学士,四年,391100,true
2251,020110TK,低空经济与管理,本科,经济学,经济学类,管理学学士,四年,229,false
2252,020111T,资源环境审计,本科,经济学,经济学类,经济学学士,四年,101,false
14,020201,财政学,本科,经济学,财政学类,经济学学士,四年,1333058,true
15,020202,税收学,本科,经济学,财政学类,经济学学士,四年,613203,true
1573,020203,国际税收,本科,经济学,财政学类,经济学学士,四年,10792,false
16,020301,金融学,本科,经济学,金融学类,经济学学士,四年,2283843,true
17,020302,金融工程,本科,经济学,金融学类,经济学学士,四年,1689499,true
18,020303,保险学,本科,经济学,金融学类,经济学学士,四年,257103,true
19,020304,投资学,本科,经济学,金融学类,经济学学士,四年,838718,true
20,020305,金融数学,本科,经济学,金融学类,经济学学士,四年,805815,true
2137,020306,信用管理,本科,经济学,金融学类,"经济学学士,管理学学士",四年,403343,true
22,020307,经济与金融,本科,经济学,金融学类,经济学学士,四年,828248,true
23,020308,精算学,本科,经济学,金融学类,"经济学学士,理学学士",四年,507333,true
24,020309,互联网金融,本科,经济学,金融学类,经济学学士,四年,303244,true
25,020310,金融科技,本科,经济学,金融学类,经济学学士,四年,234626,false
1604,020311,金融审计,本科,经济学,金融学类,经济学学士,四年,,false
2253,020312TK,数字金融,本科,经济学,金融学类,经济学学士,四年,91,false
2136,020401,国际经济与贸易,本科,经济学,经济与贸易类,经济学学士,四年,938629,true
27,020402,贸易经济,本科,经济学,经济与贸易类,经济学学士,四年,526102,true
1574,020403,国际经济发展合作,本科,经济学,经济与贸易类,经济学学士,四年,9186,false
2254,020404TK,数字贸易,本科,经济学,经济与贸易类,经济学学士,四年,77,false
28,030101,法学,本科,法学,法学类,法学学士,四年,3918400,true
29,030102,知识产权,本科,法学,法学类,法学学士,四年,762535,true
30,030103,监狱学,本科,法学,法学类,法学学士,四年,805968,true
31,030104,信用风险管理与法律防控,本科,法学,法学类,法学学士,四年,148121,false
32,030105,国际经贸规则,本科,法学,法学类,法学学士,四年,146871,false
33,030106,司法警察学,本科,法学,法学类,法学学士,四年,412383,true
34,030107,社区矫正,本科,法学,法学类,法学学士,四年,117761,false
1575,030108,纪检监察,本科,法学,法学类,法学学士,四年,23189,false
1605,030109,国际法,本科,法学,法学类,法学学士,四年,,false
1606,030110,司法鉴定学,本科,法学,法学类,法学学士,四年,,false
2170,030111TK,国家安全学,本科,法学,法学类,法学学士,四年,,false
2171,030112TK,海外利益安全,本科,法学,法学类,法学学士,四年,,false
35,030201,政治学与行政学,本科,法学,政治学类,法学学士,四年,398858,true
36,030202,国际政治,本科,法学,政治学类,法学学士,四年,357645,true
37,030203,外交学,本科,法学,政治学类,法学学士,四年,534362,true
38,030204,国际事务与国际关系,本科,法学,政治学类,法学学士,四年,213550,false
39,030205,政治学、经济学与哲学,本科,法学,政治学类,法学学士,四年,585560,true
40,030206,国际组织与全球治理,本科,法学,政治学类,法学学士,四年,85105,false
41,030301,社会学,本科,法学,社会学类,法学学士,四年,757665,true
2138,030302,社会工作,本科,法学,社会学类,法学学士,四年,416014,true
43,030303,人类学,本科,法学,社会学类,法学学士,四年,239793,false
44,030304,女性学,本科,法学,社会学类,法学学士,四年,445182,true
45,030305,家政学,本科,法学,社会学类,法学学士,四年,245657,false
46,030306,老年学,本科,法学,社会学类,法学学士,四年,98653,false
1538,030307,社会政策,本科,法学,社会学类,法学学士,四年,46014,false
47,030401,民族学,本科,法学,民族学类,法学学士,四年,308836,true
48,030501,科学社会主义,本科,法学,马克思主义理论类,法学学士,四年,200261,false
49,030502,中国共产党历史,本科,法学,马克思主义理论类,法学学士,四年,174265,false
50,030503,思想政治教育,本科,法学,马克思主义理论类,法学学士,四年,373752,true
51,030504,马克思主义理论,本科,法学,马克思主义理论类,法学学士,四年,250537,false
1607,030505,工会学,本科,法学,马克思主义理论类,法学学士,四年,,false
52,030601,治安学,本科,法学,公安学类,法学学士,四年,344839,true
53,030602,侦查学,本科,法学,公安学类,法学学士,四年,830647,true
54,030603,边防管理,本科,法学,公安学类,法学学士,四年,149386,false
55,030604,禁毒学,本科,法学,公安学类,法学学士,四年,226262,false
56,030605,警犬技术,本科,法学,公安学类,法学学士,四年,225634,false
57,030606,经济犯罪侦查,本科,法学,公安学类,法学学士,四年,168292,false
58,030607,边防指挥,本科,法学,公安学类,法学学士,四年,105141,false
59,030608,消防指挥,本科,法学,公安学类,法学学士,四年,146729,false
60,030609,警卫学,本科,法学,公安学类,法学学士,四年,218179,false
61,030610,公安情报学,本科,法学,公安学类,法学学士,四年,211115,false
62,030611,犯罪学,本科,法学,公安学类,法学学士,四年,481094,true
63,030612,公安管理学,本科,法学,公安学类,法学学士,四年,304082,true
64,030613,涉外警务,本科,法学,公安学类,法学学士,四年,411452,true
65,030614,国内安全保卫,本科,法学,公安学类,法学学士,四年,468972,true
66,030615,警务指挥与战术,本科,法学,公安学类,法学学士,四年,445384,true
67,030616,技术侦查学,本科,法学,公安学类,法学学士,四年,75253,false
68,030617,海警执法,本科,法学,公安学类,法学学士,四年,45313,false
69,030618,公安政治工作,本科,法学,公安学类,法学学士,四年,70079,false
70,030619,移民管理,本科,法学,公安学类,法学学士,四年,66253,false
71,030620,出入境管理,本科,法学,公安学类,法学学士,四年,74682,false
1539,030621,反恐警务,本科,法学,公安学类,法学学士,四年,43114,false
1540,030622,消防政治工作,本科,法学,公安学类,法学学士,四年,39706,false
1576,030623,铁路警务,本科,法学,公安学类,法学学士,四年,8132,false
2255,030624TK,森林消防,本科,法学,公安学类,法学学士,四年,41,false
2256,030625TK,政治安全保卫,本科,法学,公安学类,法学学士,四年,48,false
72,040101,教育学,本科,教育学,教育学类,教育学学士,四年,1645906,true
73,040102,科学教育,本科,教育学,教育学类,教育学学士,四年,501867,true
74,040103,人文教育,本科,教育学,教育学类,教育学学士,四年,639598,true
75,040104,教育技术学,本科,教育学,教育学类,"教育学学士,理学学士,工学学士",四年,424395,true
76,040105,艺术教育,本科,教育学,教育学类,"教育学学士,艺术学学士",四年,353667,true
2139,040106,学前教育,本科,教育学,教育学类,教育学学士,四年,1552403,true
78,040107,小学教育,本科,教育学,教育学类,教育学学士,四年,1917271,true
79,040108,特殊教育,本科,教育学,教育学类,教育学学士,四年,596778,true
80,040109,华文教育,本科,教育学,教育学类,教育学学士,四年,366925,true
81,040110,教育康复学,本科,教育学,教育学类,教育学学士,四年,126747,true
82,040111,卫生教育,本科,教育学,教育学类,教育学学士,四年,120133,true
83,040112,认知科学与技术,本科,教育学,教育学类,教育学学士,四年,78392,true
1541,040113,融合教育,本科,教育学,教育学类,教育学学士,四年,72319,false
1577,040114,劳动教育,本科,教育学,教育学类,教育学学士,四年,5351,false
1608,040115,家庭教育,本科,教育学,教育学类,教育学学士,四年,,false
1609,040116,孤独症儿童教育,本科,教育学,教育学类,教育学学士,四年,,false
2240,040117TK,人工智能教育,本科,教育学,教育学类,,四年,185,false
2249,040118T,婴幼儿发展与健康管理,本科,教育学,教育学类,,四年,90,false
84,040201,体育教育,本科,教育学,体育学类,教育学学士,四年,890235,true
85,040202,运动训练,本科,教育学,体育学类,教育学学士,四年,182860,true
2140,040203,社会体育指导与管理,本科,教育学,体育学类,教育学学士,四年,454699,true
87,040204,武术与民族传统体育,本科,教育学,体育学类,教育学学士,四年,414025,true
88,040205,运动人体科学,本科,教育学,体育学类,教育学学士,四年,166638,true
89,040206,运动康复,本科,教育学,体育学类,"教育学学士,理学学士",四年,611484,true
2141,040207,休闲体育,本科,教育学,体育学类,教育学学士,四年,438102,true
2169,040208,体能训练,本科,教育学,体育学类,教育学学士,四年,43178,false
92,040209,冰雪运动,本科,教育学,体育学类,教育学学士,四年,38515,false
93,040210,电子竞技运动与管理,本科,教育学,体育学类,教育学学士,四年,229324,true
94,040211,智能体育工程,本科,教育学,体育学类,"教育学学士,工学学士",四年,52659,false
95,040212,体育旅游,本科,教育学,体育学类,教育学学士,四年,55949,false
96,040213,运动能力开发,本科,教育学,体育学类,"教育学学士,理学学士",四年,32342,false
2172,040214TK,足球运动,本科,教育学,体育学类,教育学学士,四年,,false
2173,040215TK,马术运动与管理,本科,教育学,体育学类,教育学学士,四年,,false
2174,040216T,体育康养,本科,教育学,体育学类,教育学学士,四年,,false
2219,040217TK,航空运动,本科,教育学,体育学类,,四年,84,false
2257,040218TK,太极拳,本科,教育学,体育学类,教育学学士,四年,94,false
97,050101,汉语言文学,本科,文学,中国语言文学类,文学学士,四年,2477078,true
98,050102,汉语言,本科,文学,中国语言文学类,文学学士,四年,640960,true
99,050103,汉语国际教育,本科,文学,中国语言文学类,文学学士,四年,667239,true
100,050104,中国少数民族语言文学,本科,文学,中国语言文学类,文学学士,四年,132926,false
101,050105,古典文献学,本科,文学,中国语言文学类,文学学士,四年,544657,true
102,050106,应用语言学,本科,文学,中国语言文学类,文学学士,四年,364481,false
103,050107,秘书学,本科,文学,中国语言文学类,文学学士,四年,563997,true
104,050108,中国语言与文化,本科,文学,中国语言文学类,文学学士,四年,147514,false
105,050109,手语翻译,本科,文学,中国语言文学类,文学学士,四年,77992,false
1610,050110,数字人文,本科,文学,中国语言文学类,文学学士,四年,,false
2175,050111T,中国古典学,本科,文学,中国语言文学类,文学学士,四年,,false
2176,050112T,汉学与中国学,本科,文学,中国语言文学类,文学学士,四年,,false
2177,050113T,应用中文,本科,文学,中国语言文学类,文学学士,四年,,false
2258,050114TK,语言科学,本科,文学,中国语言文学类,文学学士,四年,58,false
106,050200,桑戈语,本科,文学,外国语言文学类,文学学士,四年,99340,false
107,050201,英语,本科,文学,外国语言文学类,文学学士,四年，五年,4330104,true
108,050202,俄语,本科,文学,外国语言文学类,文学学士,四年,497296,true
109,050203,德语,本科,文学,外国语言文学类,文学学士,四年,379721,false
110,050204,法语,本科,文学,外国语言文学类,文学学士,四年,685829,true
111,050205,西班牙语,本科,文学,外国语言文学类,文学学士,四年,448022,true
112,050206,阿拉伯语,本科,文学,外国语言文学类,文学学士,四年,209467,false
113,050207,日语,本科,文学,外国语言文学类,文学学士,四年,992146,true
114,050208,波斯语,本科,文学,外国语言文学类,文学学士,四年,128203,false
115,050209,朝鲜语,本科,文学,外国语言文学类,文学学士,四年,230047,false
116,050210,菲律宾语,本科,文学,外国语言文学类,文学学士,四年,45649,false
117,0502100,语言学,本科,文学,外国语言文学类,文学学士,四年,90804,false
118,0502101,塔玛齐格特语,本科,文学,外国语言文学类,文学学士,四年,30453,false
119,0502102,爪哇语,本科,文学,外国语言文学类,文学学士,四年,36072,false
120,0502103,旁遮普语,本科,文学,外国语言文学类,文学学士,四年,21853,false
2215,0502104TK,区域国别学,本科,文学,外国语言文学类,,四年,79,false
2259,0502105T,法律英语,本科,文学,外国语言文学类,文学学士,四年,67,false
2260,0502106TK,计算语言学,本科,文学,外国语言文学类,文学学士,四年,70,false
2261,0502107TK,语言智能,本科,文学,外国语言文学类,文学学士,四年,73,false
121,050211,梵语巴利语,本科,文学,外国语言文学类,文学学士,四年,148003,false
122,050212,印度尼西亚语,本科,文学,外国语言文学类,文学学士,四年,59297,false
123,050213,印地语,本科,文学,外国语言文学类,文学学士,四年,57954,false
124,050214,柬埔寨语,本科,文学,外国语言文学类,文学学士,四年,45588,false
125,050215,老挝语,本科,文学,外国语言文学类,文学学士,四年,49332,false
126,050216,缅甸语,本科,文学,外国语言文学类,文学学士,四年,63292,false
127,050217,马来语,本科,文学,外国语言文学类,文学学士,四年,53056,false
128,050218,蒙古语,本科,文学,外国语言文学类,文学学士,四年,60786,false
129,050219,僧伽罗语,本科,文学,外国语言文学类,文学学士,四年,389576,false
130,050220,泰语,本科,文学,外国语言文学类,文学学士,四年,95965,false
131,050221,乌尔都语,本科,文学,外国语言文学类,文学学士,四年,49694,false
132,050222,希伯来语,本科,文学,外国语言文学类,文学学士,四年,405549,false
133,050223,越南语,本科,文学,外国语言文学类,文学学士,四年,62868,false
134,050224,豪萨语,本科,文学,外国语言文学类,文学学士,四年,88606,false
135,050225,斯瓦希里语,本科,文学,外国语言文学类,文学学士,四年,57020,false
136,050226,阿尔巴尼亚语,本科,文学,外国语言文学类,文学学士,四年,61024,false
137,050227,保加利亚语,本科,文学,外国语言文学类,文学学士,四年,48595,false
138,050228,波兰语,本科,文学,外国语言文学类,文学学士,四年,72564,false
139,050229,捷克语,本科,文学,外国语言文学类,文学学士,四年,70252,false
140,050230,斯洛伐克语,本科,文学,外国语言文学类,文学学士,四年,437845,false
141,050231,罗马尼亚语,本科,文学,外国语言文学类,文学学士,四年,62333,false
142,050232,葡萄牙语,本科,文学,外国语言文学类,文学学士,四年,98606,false
143,050233,瑞典语,本科,文学,外国语言文学类,文学学士,四年,103096,false
144,050234,塞尔维亚语,本科,文学,外国语言文学类,文学学士,四年,82375,false
145,050235,土耳其语,本科,文学,外国语言文学类,文学学士,四年,86806,false
146,050236,希腊语,本科,文学,外国语言文学类,文学学士,四年,403432,false
147,050237,匈牙利语,本科,文学,外国语言文学类,文学学士,四年,61860,false
148,050238,意大利语,本科,文学,外国语言文学类,文学学士,四年,137252,false
149,050239,泰米尔语,本科,文学,外国语言文学类,文学学士,四年,73256,false
150,050240,普什图语,本科,文学,外国语言文学类,文学学士,四年,213939,false
151,050241,世界语,本科,文学,外国语言文学类,文学学士,四年,758807,true
152,050242,孟加拉语,本科,文学,外国语言文学类,文学学士,四年,79445,false
153,050243,尼泊尔语,本科,文学,外国语言文学类,文学学士,四年,71340,false
154,050244,克罗地亚语,本科,文学,外国语言文学类,文学学士,四年,56242,false
155,050245,荷兰语,本科,文学,外国语言文学类,文学学士,四年,93478,false
156,050246,芬兰语,本科,文学,外国语言文学类,文学学士,四年,87683,false
157,050247,乌克兰语,本科,文学,外国语言文学类,文学学士,四年,75575,false
158,050248,挪威语,本科,文学,外国语言文学类,文学学士,四年,96486,false
159,050249,丹麦语,本科,文学,外国语言文学类,文学学士,四年,86445,false
160,050250,冰岛语,本科,文学,外国语言文学类,文学学士,四年,158154,false
161,050251,爱尔兰语,本科,文学,外国语言文学类,文学学士,四年,347714,false
162,050252,拉脱维亚语,本科,文学,外国语言文学类,文学学士,四年,434304,false
163,050253,立陶宛语,本科,文学,外国语言文学类,文学学士,四年,413893,false
164,050254,斯洛文尼亚语,本科,文学,外国语言文学类,文学学士,四年,325159,false
165,050255,爱沙尼亚语,本科,文学,外国语言文学类,文学学士,四年,346932,false
166,050256,马耳他语,本科,文学,外国语言文学类,文学学士,四年,349221,false
167,050257,哈萨克语,本科,文学,外国语言文学类,文学学士,四年,345777,false
168,050258,乌兹别克语,本科,文学,外国语言文学类,文学学士,四年,324988,false
169,050259,祖鲁语,本科,文学,外国语言文学类,文学学士,四年,348691,false
170,050260,拉丁语,本科,文学,外国语言文学类,文学学士,四年,329862,false
171,050261,翻译,本科,文学,外国语言文学类,文学学士,四年,592933,true
172,050262,商务英语,本科,文学,外国语言文学类,文学学士,四年,772785,true
173,050263,阿姆哈拉语,本科,文学,外国语言文学类,文学学士,四年,21630,false
174,050264,吉尔吉斯语,本科,文学,外国语言文学类,文学学士,四年,16881,false
175,050265,索马里语,本科,文学,外国语言文学类,文学学士,四年,16326,false
176,050266,土库曼语,本科,文学,外国语言文学类,文学学士,四年,23390,false
177,050267,加泰罗尼亚语,本科,文学,外国语言文学类,文学学士,四年,20481,false
178,050268,约鲁巴语,本科,文学,外国语言文学类,文学学士,四年,21280,false
179,050269,亚美尼亚语,本科,文学,外国语言文学类,文学学士,四年,20321,false
180,050270,马达加斯加语,本科,文学,外国语言文学类,文学学士,四年,14561,false
181,050271,格鲁吉亚语,本科,文学,外国语言文学类,文学学士,四年,16010,false
182,050272,阿塞拜疆语,本科,文学,外国语言文学类,文学学士,四年,16372,false
183,050273,阿非利卡语,本科,文学,外国语言文学类,文学学士,四年,17239,false
184,050274,马其顿语,本科,文学,外国语言文学类,文学学士,四年,17204,false
185,050275,塔吉克语,本科,文学,外国语言文学类,文学学士,四年,21599,false
186,050276,茨瓦纳语,本科,文学,外国语言文学类,文学学士,四年,19430,false
187,050277,恩德贝莱语,本科,文学,外国语言文学类,文学学士,四年,22264,false
188,050278,科摩罗语,本科,文学,外国语言文学类,文学学士,四年,13585,false
189,050279,克里奥尔语,本科,文学,外国语言文学类,文学学士,四年,24798,false
190,050280,绍纳语,本科,文学,外国语言文学类,文学学士,四年,13382,false
191,050281,提格雷尼亚语,本科,文学,外国语言文学类,文学学士,四年,18868,false
192,050282,白俄罗斯语,本科,文学,外国语言文学类,文学学士,四年,25296,false
193,050283,毛利语,本科,文学,外国语言文学类,文学学士,四年,13573,false
194,050284,汤加语,本科,文学,外国语言文学类,文学学士,四年,22454,false
195,050285,萨摩亚语,本科,文学,外国语言文学类,文学学士,四年,21305,false
196,050286,库尔德语,本科,文学,外国语言文学类,文学学士,四年,14061,false
197,050287,比斯拉马语,本科,文学,外国语言文学类,文学学士,四年,25676,false
198,050288,达里语,本科,文学,外国语言文学类,文学学士,四年,14718,false
199,050289,德顿语,本科,文学,外国语言文学类,文学学士,四年,17169,false
200,050290,迪维希语,本科,文学,外国语言文学类,文学学士,四年,24848,false
201,050291,斐济语,本科,文学,外国语言文学类,文学学士,四年,25704,false
202,050292,库克群岛毛利语,本科,文学,外国语言文学类,文学学士,四年,14377,false
203,050293,隆迪语,本科,文学,外国语言文学类,文学学士,四年,19125,false
204,050294,卢森堡语,本科,文学,外国语言文学类,文学学士,四年,20839,false
205,050295,卢旺达语,本科,文学,外国语言文学类,文学学士,四年,15736,false
206,050296,纽埃语,本科,文学,外国语言文学类,文学学士,四年,18499,false
207,050297,皮金语,本科,文学,外国语言文学类,文学学士,四年,24422,false
208,050298,切瓦语,本科,文学,外国语言文学类,文学学士,四年,20216,false
209,050299,塞苏陀语,本科,文学,外国语言文学类,文学学士,四年,21427,false
210,050301,新闻学,本科,文学,新闻传播学类,文学学士,四年,1520333,true
211,050302,广播电视学,本科,文学,新闻传播学类,文学学士,四年,704488,true
212,050303,广告学,本科,文学,新闻传播学类,文学学士,四年,788272,true
213,050304,传播学,本科,文学,新闻传播学类,文学学士,四年,762052,true
214,050305,编辑出版学,本科,文学,新闻传播学类,文学学士,四年,650044,true
2134,050306,网络与新媒体,本科,文学,新闻传播学类,文学学士,四年,1520265,true
216,050307,数字出版,本科,文学,新闻传播学类,文学学士,四年,508410,true
217,050308,时尚传播,本科,文学,新闻传播学类,文学学士,四年,104996,false
218,050309,国际新闻与传播,本科,文学,新闻传播学类,文学学士,四年,188664,false
1536,050310,会展,本科,文学,新闻传播学类,"文学学士,管理学学士",四年,90244,false
219,060101,历史学,本科,历史学,历史学类,历史学学士,四年,1454919,true
220,060102,世界史,本科,历史学,历史学类,历史学学士,四年,585218,true
221,060103,考古学,本科,历史学,历史学类,历史学学士,四年,1168994,true
222,060104,文物与博物馆学,本科,历史学,历史学类,历史学学士,四年,805106,true
223,060105,文物保护技术,本科,历史学,历史学类,历史学学士,四年,495943,true
224,060106,外国语言与外国历史,本科,历史学,历史学类,"文学学士,历史学学士",四年,531088,true
225,060107,文化遗产,本科,历史学,历史学类,历史学学士,四年,155582,true
1537,060108,古文字学,本科,历史学,历史学类,历史学学士,四年,82866,true
1578,060109,科学史,本科,历史学,历史学类,历史学学士,四年,5117,true
226,070101,数学与应用数学,本科,理学,数学类,理学学士,四年,1865131,true
227,070102,信息与计算科学,本科,理学,数学类,理学学士,四年,1711197,true
228,070103,数理基础科学,本科,理学,数学类,理学学士,四年,454774,false
229,070104,数据计算及应用,本科,理学,数学类,理学学士,四年,354864,false
2262,070105TK,智能计算,本科,理学,数学类,理学学士,四年,98,false
230,070201,物理学,本科,理学,物理学类,理学学士,四年,1214330,true
231,070202,应用物理学,本科,理学,物理学类,理学学士,四年,853018,true
232,070203,核物理,本科,理学,物理学类,理学学士,四年,438965,false
233,070204,声学,本科,理学,物理学类,理学学士,四年,200569,false
234,070205,系统科学与工程,本科,理学,物理学类,理学学士,四年,198323,false
1542,070206,量子信息科学,本科,理学,物理学类,理学学士,四年,183007,false
235,070301,化学,本科,理学,化学类,理学学士,四年,1137929,true
236,070302,应用化学,本科,理学,化学类,"理学学士,工学学士",四年,794540,true
237,070303,化学生物学,本科,理学,化学类,理学学士,四年,550991,true
238,070304,分子科学与工程,本科,理学,化学类,理学学士,四年,269085,false
239,070305,能源化学,本科,理学,化学类,理学学士,四年,185427,false
1543,070306,化学测量学与技术,本科,理学,化学类,理学学士,四年,54375,false
1611,070307,资源化学,本科,理学,化学类,理学学士,四年,,false
240,070401,天文学,本科,理学,天文学类,理学学士,四年,843439,true
241,070501,地理科学,本科,理学,地理科学类,理学学士,四年,1102757,true
242,070502,自然地理与资源环境,本科,理学,地理科学类,"理学学士,管理学学士",四年,715183,true
243,070503,人文地理与城乡规划,本科,理学,地理科学类,"理学学士,管理学学士",四年,862287,true
244,070504,地理信息科学,本科,理学,地理科学类,理学学士,四年,1032544,true
245,070601,大气科学,本科,理学,大气科学类,理学学士,四年,468707,true
246,070602,应用气象学,本科,理学,大气科学类,理学学士,四年,465734,false
1544,070603,气象技术与工程,本科,理学,大气科学类,"理学学士,工学学士",四年,98509,false
1612,070604,地球系统科学,本科,理学,大气科学类,理学学士,四年,,false
247,070701,海洋科学,本科,理学,海洋科学类,理学学士,四年,383426,false
248,070702,海洋技术,本科,理学,海洋科学类,"理学学士,工学学士",四年,170124,false
249,070703,海洋资源与环境,本科,理学,海洋科学类,理学学士,四年,439961,false
250,070704,军事海洋学,本科,理学,海洋科学类,理学学士,四年,271049,false
2207,070705T,海洋科学与技术,本科,理学,海洋科学类,,四年,149,false
251,070801,地球物理学,本科,理学,地球物理学类,理学学士,四年,317022,false
252,070802,空间科学与技术,本科,理学,地球物理学类,"理学学士,工学学士",四年,213362,false
253,070803,防灾减灾科学与工程,本科,理学,地球物理学类,工学学士,四年,94189,false
1579,070804,行星科学,本科,理学,地球物理学类,理学学士,四年,7014,false
254,070901,地质学,本科,理学,地质学类,理学学士,四年,364471,false
255,070902,地球化学,本科,理学,地质学类,理学学士,四年,122839,false
256,070903,地球信息科学与技术,本科,理学,地质学类,"理学学士,工学学士",四年,230545,false
257,070904,古生物学,本科,理学,地质学类,理学学士,四年,574608,true
258,071001,生物科学,本科,理学,生物科学类,理学学士,四年,1398427,true
259,071002,生物技术,本科,理学,生物科学类,"理学学士,工学学士",四年,1139484,true
260,071003,生物信息学,本科,理学,生物科学类,"理学学士,工学学士",四年,410954,false
261,071004,生态学,本科,理学,生物科学类,理学学士,四年,348754,false
262,071005,整合科学,本科,理学,生物科学类,理学学士,四年,94468,false
263,071006,神经科学,本科,理学,生物科学类,理学学士,四年,159390,false
264,071101,心理学,本科,理学,心理学类,"教育学学士,理学学士",四年,2337570,true
265,071102,应用心理学,本科,理学,心理学类,"教育学学士,理学学士",四年,1384584,true
2263,071103TK,心理脑与认知科学,本科,理学,心理学类,理学学士,四年,103,false
266,071201,统计学,本科,理学,统计学类,理学学士,四年,855612,true
267,071202,应用统计学,本科,理学,统计学类,理学学士,四年,743669,true
1535,071203,数据科学,本科,理学,统计学类,理学学士,四年,5139,false
1603,071204,生物统计学,本科,理学,统计学类,理学学士,四年,,false
268,080101,理论与应用力学,本科,工学,力学类,"理学学士,工学学士",四年,340204,false
269,080102,工程力学,本科,工学,力学类,工学学士,四年,454953,false
270,080201,机械工程,本科,工学,机械类,工学学士,四年,1261710,true
271,080202,机械设计制造及其自动化,本科,工学,机械类,工学学士,四年,2944774,true
2144,080203,材料成型及控制工程,本科,工学,机械类,工学学士,四年,438791,false
273,080204,机械电子工程,本科,工学,机械类,工学学士,四年,901858,false
2145,080205,工业设计,本科,工学,机械类,工学学士,四年,1314933,true
275,080206,过程装备与控制工程,本科,工学,机械类,工学学士,四年,349060,false
276,080207,车辆工程,本科,工学,机械类,工学学士,四年,1284292,true
277,080208,汽车服务工程,本科,工学,机械类,工学学士,四年,359945,false
278,080209,机械工艺技术,本科,工学,机械类,工学学士,四年,450029,false
279,080210,微机电系统工程,本科,工学,机械类,工学学士,四年,481111,false
280,080211,机电技术教育,本科,工学,机械类,工学学士,四年,145059,false
281,080212,汽车维修工程教育,本科,工学,机械类,工学学士,四年,160146,false
282,080213,智能制造工程,本科,工学,机械类,工学学士,四年,424648,false
283,080214,智能车辆工程,本科,工学,机械类,工学学士,四年,174046,false
284,080215,仿生科学与工程,本科,工学,机械类,工学学士,四年,150143,false
285,080216,新能源汽车工程,本科,工学,机械类,工学学士,四年,261103,false
1545,080217,增材制造工程,本科,工学,机械类,工学学士,四年,35046,false
1546,080218,智能交互设计,本科,工学,机械类,工学学士,四年,130837,false
1547,080219,应急装备技术与工程,本科,工学,机械类,工学学士,四年,49019,false
2178,080220T,农林智能装备工程,本科,工学,机械类,工学学士,四年,,false
2264,080221T,真空工程与技术,本科,工学,机械类,工学学士,四年,123,false
286,080301,测控技术与仪器,本科,工学,仪器类,工学学士,四年,628328,false
287,080302,精密仪器,本科,工学,仪器类,工学学士,四年,106789,false
288,080303,智能感知工程,本科,工学,仪器类,工学学士,四年,147248,false
289,080401,材料科学与工程,本科,工学,材料类,工学学士,四年,813168,false
290,080402,材料物理,本科,工学,材料类,"理学学士,工学学士",四年,480400,false
291,080403,材料化学,本科,工学,材料类,"理学学士,工学学士",四年,674613,false
292,080404,冶金工程,本科,工学,材料类,工学学士,四年,214396,false
293,080405,金属材料工程,本科,工学,材料类,工学学士,四年,233456,false
294,080406,无机非金属材料工程,本科,工学,材料类,工学学士,四年,247352,false
295,080407,高分子材料与工程,本科,工学,材料类,工学学士,四年,615109,false
296,080408,复合材料与工程,本科,工学,材料类,工学学士,四年,237562,false
297,080409,粉体材料科学与工程,本科,工学,材料类,工学学士,四年,122637,false
298,080410,宝石及材料工艺学,本科,工学,材料类,工学学士,四年,275741,false
299,080411,焊接技术与工程,本科,工学,材料类,工学学士,四年，五年,209216,false
300,080412,功能材料,本科,工学,材料类,工学学士,四年,403885,false
301,080413,纳米材料与技术,本科,工学,材料类,工学学士,四年,472302,false
302,080414,新能源材料与器件,本科,工学,材料类,工学学士,四年,479527,false
303,080415,材料设计科学与工程,本科,工学,材料类,工学学士,四年,52145,false
304,080416,复合材料成型工程,本科,工学,材料类,工学学士,四年,30343,false
305,080417,智能材料与结构,本科,工学,材料类,工学学士,四年,44161,false
1580,080418,光电信息材料与器件,本科,工学,材料类,工学学士,四年,7705,false
1613,080419,生物材料,本科,工学,材料类,工学学士,四年,,false
2179,080420T,材料智能技术,本科,工学,材料类,工学学士,四年,,false
2180,080421T,电子信息材料,本科,工学,材料类,工学学士,四年,,false
2181,080422T,软物质科学与工程,本科,工学,材料类,工学学士,四年,,false
2182,080423T,稀土材料科学与工程,本科,工学,材料类,工学学士,四年,,false
306,080501,能源与动力工程,本科,工学,能源动力类,工学学士,四年,937542,false
